symbol,side,date,price,shares
HAL,buy,2021-07-27 04:00:00,20.4102,8507
HAL,sell,2021-08-03 04:00:00,19.93,8507
HAL,buy,2021-08-09 04:00:00,19.5698,3488
HAL,sell,2021-08-19 04:00:00,18.4608,3488
HAL,buy,2021-08-24 04:00:00,19.5648,3777
HAL,sell,2021-10-06 04:00:00,22.9885,3777
HAL,buy,2021-11-24 05:00:00,22.6813,4819
HAL,sell,2021-11-26 05:00:00,21.7991,4819
HAL,buy,2021-12-03 05:00:00,22.4312,6485
HAL,sell,2021-12-15 05:00:00,21.7991,6485
HAL,buy,2021-12-17 05:00:00,22.4112,6428
HAL,sell,2021-12-20 05:00:00,21.7991,6428
HAL,buy,2021-12-22 05:00:00,22.5913,4745
HAL,sell,2022-01-18 05:00:00,29.1254,4745
HAL,buy,2022-07-26 04:00:00,28.8444,2972
HAL,sell,2022-08-04 04:00:00,27.1664,2972
HAL,buy,2022-08-10 04:00:00,28.2441,4462
HAL,sell,2022-09-21 04:00:00,27.1664,4462
HAL,buy,2023-02-27 05:00:00,36.9585,11728
HAL,sell,2023-02-28 05:00:00,36.5517,11728
HAL,buy,2023-03-02 05:00:00,37.2886,6074
HAL,sell,2023-03-09 05:00:00,36.5517,6074
HAL,buy,2023-04-03 04:00:00,33.5968,1356
HAL,sell,2023-05-02 04:00:00,30.4947,1356
HAL,buy,2023-05-23 04:00:00,30.4352,2356
HAL,sell,2023-05-31 04:00:00,28.7156,2356
HAL,buy,2023-06-02 04:00:00,30.9455,1491
HAL,sell,2023-07-11 04:00:00,36.8416,1491
HAL,buy,2023-11-15 05:00:00,39.2096,3597
HAL,sell,2023-11-16 05:00:00,38.021,3597
HAL,buy,2023-12-15 05:00:00,35.6378,9219
HAL,sell,2024-01-08 05:00:00,35.1824,9219
HAL,buy,2024-01-23 05:00:00,34.4472,3258
HAL,sell,2024-03-06 05:00:00,35.3323,3258
HAL,buy,2026-07-09 04:00:00,34.6773,2463
HAL,sell,2026-07-21 04:00:00,33.0435,2463
MO,buy,2021-07-02 04:00:00,47.8539,2100
MO,sell,2021-08-16 04:00:00,48.3758,2100
MO,buy,2021-08-18 04:00:00,48.4542,2489
MO,sell,2021-09-30 04:00:00,46.8066,2489
MO,buy,2021-10-13 04:00:00,47.3337,3422
MO,sell,2021-10-28 04:00:00,46.1769,3422
MO,buy,2022-05-17 04:00:00,54.112,3376
MO,sell,2022-05-19 04:00:00,52.9835,3376
MO,buy,2022-05-25 04:00:00,53.1266,1418
MO,sell,2022-06-08 04:00:00,50.5847,1418
MO,buy,2025-01-28 05:00:00,53.3567,9879
MO,sell,2025-01-29 05:00:00,52.9835,9879
MO,buy,2025-02-04 05:00:00,52.9264,1159
MO,sell,2025-03-19 04:00:00,57.931,1159
MO,buy,2025-05-16 04:00:00,58.109,2029
MO,sell,2025-07-01 04:00:00,58.1209,2029
MO,buy,2025-07-24 04:00:00,59.8299,1154
MO,sell,2025-08-20 04:00:00,66.6467,1154
MO,buy,2025-11-12 05:00:00,58.3592,2534
MO,sell,2025-12-26 05:00:00,57.5512,2534
MO,buy,2026-01-12 05:00:00,57.5388,5066
MO,sell,2026-02-19 05:00:00,68.006,5066
MO,buy,2026-05-11 04:00:00,68.7894,1138
MO,sell,2026-06-24 04:00:00,72.019,1138
EBAY,buy,2021-05-25 04:00:00,61.4507,849
EBAY,sell,2021-07-08 04:00:00,68.5857,849
EBAY,buy,2021-12-28 05:00:00,65.8429,4973
EBAY,sell,2022-01-04 05:00:00,64.9575,4973
EBAY,buy,2022-01-07 05:00:00,66.9385,2086
EBAY,sell,2022-01-10 05:00:00,64.9575,2086
EBAY,buy,2022-01-12 05:00:00,66.9385,2002
EBAY,sell,2022-01-13 05:00:00,64.9575,2002
EBAY,buy,2022-02-07 05:00:00,59.2196,1509
EBAY,sell,2022-02-17 05:00:00,56.7116,1509
EBAY,buy,2025-03-21 04:00:00,66.1531,3087
EBAY,sell,2025-03-24 04:00:00,64.9575,3087
EBAY,buy,2025-03-26 04:00:00,66.2281,2781
EBAY,sell,2025-04-04 04:00:00,64.9575,2781
EBAY,buy,2025-04-10 04:00:00,61.3557,559
EBAY,sell,2025-05-23 04:00:00,71.884,559
EBAY,buy,2025-11-26 05:00:00,82.8414,862
EBAY,sell,2026-01-12 05:00:00,93.2833,862
EBAY,buy,2026-02-26 05:00:00,85.9129,665
EBAY,sell,2026-04-10 04:00:00,95.3723,665
